"blog-card__root href","css-6vad4i src","css-1cixjsh"
"https://www.madlan.co.il/blog/%d7%91%d7%9c%d7%99-%d7%97%d7%a8%d7%98%d7%95%d7%aa/","https://images2.madlan.co.il/t:nonce:v=2;resize:height=516,width=516;convert:type=webp/articles/3UYzrQw3DI/Screenshot%202024-12-10%20091818-0a500b8c-5218-456d-ad9f-b6cbd1304430.png","פרק שלישי: לבחור דירה מבלי להתחרט | אורח: רם גפן, ראש מחלקת מחקר במדלן"
"https://www.madlan.co.il/blog/%d7%a9%d7%9b%d7%99%d7%a8%d7%aa-%d7%93%d7%99%d7%a8%d7%94/","https://images2.madlan.co.il/t:nonce:v=2;resize:height=516,width=516;convert:type=webp/articles/ngt9yGROec/%D7%A8%D7%99%D7%91%D7%95%D7%A2-5c178116-9335-4c22-895b-06e434ca9d69.jpg","כל מה שרציתם לדעת על שכירת דירה בישראל – וגם חוזה לדוגמה להורדה"
"https://www.madlan.co.il/blog/%d7%94%d7%93%d7%a8%d7%9a-%d7%9c%d7%91%d7%99%d7%aa-%d7%a4%d7%95%d7%93%d7%a7%d7%90%d7%a1%d7%98-%d7%97%d7%93%d7%a9-%d7%9e%d7%91%d7%99%d7%aa-%d7%9e%d7%93%d7%9c%d7%9f/","https://images2.madlan.co.il/t:nonce:v=2;resize:height=516,width=516;convert:type=webp/articles/9BFyoGcBDt/Screenshot%202024-12-10%20084337-7549c131-7215-4b38-ac0c-4c6cb87ebbdd.png","""הדרך לבית"": פודקאסט חדש מבית מדלן על כל מה שמעניין בשוק הנדל""ן"
"https://www.madlan.co.il/blog/%d7%93%d7%9f-%d7%90%d7%a8%d7%99%d7%90%d7%9c%d7%99/","https://images2.madlan.co.il/t:nonce:v=2;resize:height=516,width=516;convert:type=webp/articles/R6fbVkNGKn/Gemini_Generated_Image_5f89rd5f89rd5f89-b53c0dfe-2682-4caf-b23a-b917eb869839.png","פרק תשיעי: האם לקנות דירה זה רציונלי? | אורח: פרופ' דן אריאלי"
"https://www.madlan.co.il/blog/%d7%9e%d7%99%d7%97%d7%96%d7%95%d7%a8-%d7%9e%d7%a9%d7%9b%d7%a0%d7%aa%d7%90/","https://images2.madlan.co.il/t:nonce:v=2;resize:height=516,width=516;convert:type=webp/articles/cSFQD3LrOP/mortgage-recycling-117d2f7a-f011-4fb9-b432-df89cd510a23.jpg","מיחזור משכנתא: מתי כדאי, כמה זה עולה ועוד מידע שחשוב לדעת"
"https://www.madlan.co.il/blog/%d7%90%d7%97%d7%95%d7%96%d7%94-%d7%97%d7%99%d7%a4%d7%94-2/","https://images2.madlan.co.il/t:nonce:v=2;resize:height=516,width=516;convert:type=webp/articles/ifrgPyPsCK/Screenshot%202024-12-04%20135052-dfd384f2-f12d-4d7b-ae2d-0b4f834d98ab.png","אחוזה: עם נוף לים כמעט מכל חלון, השכונה הוותיקה על הכרמל מתחדשת"
"https://www.madlan.co.il/blog/%d7%99%d7%95%d7%a1%d7%99-%d7%a4%d7%a8%d7%a9%d7%a7%d7%95%d7%91%d7%a1%d7%a7%d7%99/","https://images2.madlan.co.il/t:nonce:v=2;resize:height=516,width=516;convert:type=webp/articles/OpuTBxErk0/%D7%A2%D7%95%D7%AA%D7%A7-48e0744c-4e0b-4efb-8c1f-8d29d60e028a.png","פרק שמיני: לאן דוהרת רכבת הנדל""ן הישראלית? | אורח: יוסי פרשקובסקי"
"https://www.madlan.co.il/blog/%d7%a1%d7%a0%d7%9f-%d7%9e%d7%97%d7%99%d7%a8/","https://images2.madlan.co.il/t:nonce:v=2;resize:height=516,width=516;convert:type=webp/articles/uZtE6W3Kuj/price-reduction-00-2-1200x675-9b933c69-fa20-479a-bfaa-aade2eeda708.jpg","מחפשים נכס במחיר מציאה? אצלנו במדלן תוכלו למצוא אותו בקלות"
"https://www.madlan.co.il/blog/%d7%a4%d7%a8%d7%a7-%d7%a9%d7%99%d7%a9%d7%99/","https://images2.madlan.co.il/t:nonce:v=2;resize:height=516,width=516;convert:type=webp/articles/lybsCn0NqY/shutterstock_1137289043-15c578b0-2b4c-4e5f-8989-308bf25e0e19.jpg","פרק שישי: איך אפשר להוריד את מחירי הדיור? | אורח: פרופ' ירון זליכה"
"https://www.madlan.co.il/blog/%d7%98%d7%a2%d7%95%d7%99%d7%95%d7%aa-%d7%a9%d7%9c-%d7%9e%d7%a9%d7%a7%d7%99%d7%a2%d7%99%d7%9d/","https://images2.madlan.co.il/t:nonce:v=2;resize:height=516,width=516;convert:type=webp/articles/xd6CLn3ZYF/maria-ziegler-jJnZg7vBfMs-unsplash-4260a816-8466-46c8-9555-108eacf980cc.jpg","פרק חמישי: טעויות של משקיעי נדל""ן מתחילים | אורח: השמאי אוהד דנוס"
"https://www.madlan.co.il/blog/%d7%90%d7%99%d7%97%d7%95%d7%93-%d7%94%d7%9c%d7%95%d7%95%d7%90%d7%95%d7%aa/","https://images2.madlan.co.il/t:nonce:v=2;resize:height=516,width=516;convert:type=webp/articles/Zu0hSui3xI/%D7%AA%D7%9E%D7%95%D7%A0%D7%94%20%D7%A8%D7%99%D7%91%D7%95%D7%A2%D7%99%D7%AA%20%D7%9E%D7%A9%D7%9B%D7%A0%D7%AA%D7%902-1da23106-71bc-4320-9499-90b77083ac46.jpg","למי שנלחמים בהחזרים החודשיים: כל מה שצריך לדעת על איחוד הלוואות"
"https://www.madlan.co.il/blog/%d7%a4%d7%a8%d7%a7-%d7%a9%d7%91%d7%99%d7%a2%d7%99/","https://images2.madlan.co.il/t:nonce:v=2;resize:height=516,width=516;convert:type=webp/articles/khrj5H3zoQ/66a7a157a7d1db105689245b_Oa.Photo0231-f728113b-4d91-433a-b421-9b13083f5269.jpg","פרק שביעי: האם יש דבר כזה ""טעם ישראלי""? | אורח: אדר' אילן פיבקו"
"https://www.madlan.co.il/blog/%d7%97%d7%99%d7%a4%d7%94-%d7%91%d7%99%d7%a8%d7%aa-%d7%94%d7%9e%d7%a9%d7%a7%d7%99%d7%a2%d7%99%d7%9d/","https://images2.madlan.co.il/t:nonce:v=2;resize:height=516,width=516;convert:type=webp/articles/SLffiw8aRp/Screenshot%202024-12-10%20091531-2b455274-fa5a-476e-a05b-37346e869275.png","פרק שני: חיפה, בירת המשקיעים | אורח: שלומי מורצקי"
"https://www.madlan.co.il/blog/%d7%90%d7%a7%d7%95-%d7%a1%d7%99%d7%98%d7%99/","https://images2.madlan.co.il/t:nonce:v=2;resize:height=516,width=516;convert:type=webp/articles/F62PQGe7lp/shutterstock_2453194863-e811ee1b-5384-479b-b54d-4f99fd3798cd.jpg","פרק רביעי: תל אביב יא חביבי, תל אביב | אורח: אילי בר, מנכ""ל משותף אקו סיטי"
"https://www.madlan.co.il/blog/%d7%91%d7%aa-%d7%92%d7%9c%d7%99%d7%9d/","https://images2.madlan.co.il/t:nonce:v=2;resize:height=516,width=516;convert:type=webp/articles/IgCFOOVc8B/%D7%91%D7%AA-%D7%92%D7%9C%D7%99%D7%9D-%D7%AA%D7%9E%D7%95%D7%A0%D7%94-%D7%A9%D7%A0%D7%99%D7%94-c4a4d323-f9ea-4df2-a0f5-3c96a8e77aba.jpg","בת גלים: האם היפהפיה הנרדמת של חיפה מתעוררת?"
"https://www.madlan.co.il/blog/%d7%a4%d7%99%d7%a0%d7%95%d7%99-%d7%91%d7%99%d7%a0%d7%95%d7%99-%d7%94%d7%93%d7%91%d7%a8-%d7%94%d7%92%d7%93%d7%95%d7%9c-%d7%94%d7%91%d7%90/","https://images2.madlan.co.il/t:nonce:v=2;resize:height=516,width=516;convert:type=webp/articles/QEj5qWTb9j/Screenshot%202024-12-10%20084911-a0e68a84-a9be-4861-b37f-ed98bba39653.png","פרק ראשון: פינוי בינוי – הדבר הגדול הבא | אורח: עו""ד איתי פריד"
"https://www.madlan.co.il/blog/%d7%90%d7%99%d7%9a-%d7%9c%d7%91%d7%97%d7%95%d7%a8-%d7%99%d7%95%d7%a2%d7%a5-%d7%9e%d7%a9%d7%9b%d7%a0%d7%aa%d7%90%d7%95%d7%aa/","https://images2.madlan.co.il/t:nonce:v=2;resize:height=516,width=516;convert:type=webp/articles/NATwU5Yt6c/mortgage-advisor-1-6dea352c-a3c2-4369-9ab4-386b34d03091.jpg","כל מה שצריך לדעת על בחירת יועץ משכנתאות פרטי: איפה למצוא ואיך"