"css-u1nut8 href","css-17p3j9b src","css-hqth87","css-q8j3hw","css-q8j3hw 2","css-q8j3hw 3","css-n4p85g","thumbnail-logo href","thumbnail-logo src","css-afgd57"
"https://www.madlan.co.il/listings/9SEouSRx288","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/1-3cfbb134-7871-4e80-9117-021e830db0d4.jpeg","‏7,000 ‏₪","3 חד׳","קומה 1","75 מ""ר","דירה, כנפי נשרים 27, תל יהודה","","",""
"https://www.madlan.co.il/listings/zkwTdQOngu0","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/WhatsApp_Image_2026-04-20_at_14.08.14_(5)-3152492c-decb-4e7d-98a8-2de15e1f6727.jpeg","‏6,900 ‏₪","4 חד׳","קומת קרקע","85 מ""ר","דירה, הרכסים 16, תל יהודה","","",""
"https://www.madlan.co.il/listings/2XiaRc79nWc","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/WhatsApp_Image_2026-05-07_at_10.23.27-5d242472-62ce-48dc-b8e5-172fd0f21c0f.jpeg","‏7,000 ‏₪","3 חד׳","קומה 4","70 מ""ר","דירה, רוחמה , תל יהודה","https://www.madlan.co.il/agentsOffice/re_office_izPedqGaI4H","https://images2.madlan.co.il/t:nonce:v=2;resize:height=56;convert:type=webp/realEstateAgent/office/re_office_izPedqGaI4H_1687335366094.jpg","תיווך"
"https://www.madlan.co.il/listings/lctZOzdnQXA","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/1-467e9959-1968-4af4-9ad7-2ca3912cf646.jpg","‏9,500 ‏₪","5 חד׳","קומת קרקע","140 מ""ר","דירה, אבישי 7, תל יהודה","https://www.madlan.co.il/agentsOffice/re_office_hJ3b4JcpkD3","https://images2.madlan.co.il/t:nonce:v=2;resize:height=56;convert:type=webp/realEstateAgent/office/re_office_hJ3b4JcpkD3_1586264040478.jpg","בבלעדיות"
"https://www.madlan.co.il/listings/NOlTh7vzlDk","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/1000312168-8da24644-5233-409e-9801-5fbeca8c7c85.jpg","‏8,000 ‏₪","4 חד׳","קומה 1","95 מ""ר","דירה, הרא""ה 170, תל יהודה","https://www.madlan.co.il/agentsOffice/re_office_jM9qRjOva1i","https://images2.madlan.co.il/t:nonce:v=2;resize:height=56;convert:type=webp/realEstateAgent/office/re_office_jM9qRjOva1i_1746692934240.jpg","תיווך"
"https://www.madlan.co.il/listings/b1JAtjhTdEK","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/%D7%94%D7%A8%D7%9B%D7%A1%D7%99%D7%9D_%D7%90%D7%9C%D7%99_%D7%94%D7%93%D7%A8_1-51083756-f1a8-44ab-8fd4-113ad8b336da.jfif","‏7,000 ‏₪","4 חד׳","קומה 1","92 מ""ר","דירה, רכסים , תל יהודה","https://www.madlan.co.il/agentsOffice/re_office_dTFlT4Mir4E","https://images2.madlan.co.il/t:nonce:v=2;resize:height=56;convert:type=webp/realEstateAgent/office/re_office_dTFlT4Mir4E_1540709139987.jpg","תיווך"
"https://www.madlan.co.il/listings/JS474kbP5g6","","‏8,200 ‏₪","3 חד׳","קומה 2","84 מ""ר","דירה, חורגין , תל יהודה","","","תיווך"
"https://www.madlan.co.il/listings/CDsLxheScg8","","‏8,200 ‏₪","3 חד׳","קומה 2","84 מ""ר","דירה, בית לחם , תל יהודה","","","תיווך"
"https://www.madlan.co.il/listings/yAUbov3TIwd","","‏11,000 ‏₪","3 חד׳","קומת קרקע","160 מ""ר","דירת גן, יד שלום 10, תל יהודה","","","תיווך"
"https://www.madlan.co.il/listings/9nABjIfW8yO","","‏9,500 ‏₪","4 חד׳","קומה 8","130 מ""ר","פנטהאוז, תל יהודה","","","תיווך"
"https://www.madlan.co.il/listings/U5H77dyzLbV","","‏4,500 ‏₪","2 חד׳","קומה 3","41 מ""ר","דירה, חורגין 2, תל יהודה","","","תיווך"
"https://www.madlan.co.il/listings/gF8SHaQ8P42","","‏4,600 ‏₪","2 חד׳","קומה 2","65 מ""ר","דירה, תל יהודה","","","תיווך"
"https://www.madlan.co.il/listings/ZeCFwEDgahk","","‏9,000 ‏₪","4 חד׳","קומה 6","100 מ""ר","דירה, רמת יצחק","","","תיווך"
"https://www.madlan.co.il/listings/prmEyWs7S2l","","‏3,200 ‏₪","חדר אחד","קומה 1","30 מ""ר","דירה, כצנלסון 152, שיינקין","","",""
"https://www.madlan.co.il/listings/7kA6u2ozfhA","","‏2,250 ‏₪","3 חד׳","קומה 3","70 מ""ר","דירה, שדרות ירושלים 1, יד לבנים","","",""
"https://www.madlan.co.il/listings/CkHU9AurtTV","","‏3,200 ‏₪","1.5 חד׳","קומה 2","28 מ""ר","דירה, הרא""ה 163, רמת יצחק","","","תיווך"
"https://www.madlan.co.il/listings/M0ewc179vVD","","‏7,500 ‏₪","3 חד׳","קומה 1","96 מ""ר","דירה, גבעת קוזלובסקי","","","תיווך"
"https://www.madlan.co.il/listings/mIkLHXy4ijU","","‏6,900 ‏₪","3.5 חד׳","קומה 3","92 מ""ר","דירה, סמטת השילוח 4, יד לבנים","","",""
"https://www.madlan.co.il/listings/IJrUDwWHk8r","","‏5,600 ‏₪","3 חד׳","קומת קרקע","80 מ""ר","דירה, הרא""ה 205, מתחם נגבה","","",""
"https://www.madlan.co.il/listings/Stctcjh9d1J","","‏7,800 ‏₪","4 חד׳","קומה 3","130 מ""ר","דירה, ז'בוטינסקי 69, שיינקין","","",""